-0.55151,0.37831,-0.31188,-0.94438,1.0562,-0.11512,-0.055388,0,0,0,0.32208,0.5521,0.53826,0.54929
-0.55142,0.37794,-0.31166,-0.94409,1.0563,-0.11515,-0.055263,0.000053527,0.000015035,-4.6569E-06,0.32219,0.55218,0.53817,0.54923
-0.55145,0.37736,-0.3111,-0.94415,1.0561,-0.11534,-0.055339,0.00014993,-0.000030043,-7.1716E-07,0.32219,0.55223,0.53813,0.54922
-0.5513,0.37721,-0.31057,-0.94404,1.0561,-0.1155,-0.055234,0.000205,-9.3128E-06,4.2935E-06,0.32224,0.55223,0.53814,0.54919
-0.55133,0.37698,-0.31049,-0.94421,1.0559,-0.11547,-0.055143,0.00026349,-0.000049043,0.000010184,0.32227,0.55217,0.53815,0.54922
-0.55141,0.37687,-0.31044,-0.94433,1.0558,-0.11538,-0.054861,0.00035629,-0.000093042,-8.8479E-06,0.32232,0.55205,0.53819,0.54928
-0.55148,0.37723,-0.31061,-0.94454,1.0555,-0.11539,-0.054817,0.00044198,-0.00013599,-0.000014643,0.32241,0.55207,0.53811,0.54929
-0.5516,0.37773,-0.31082,-0.94456,1.0553,-0.11551,-0.054777,0.00054491,-0.00014839,-0.000027194,0.3225,0.55209,0.53803,0.5493
-0.55168,0.37773,-0.31084,-0.94455,1.0552,-0.11551,-0.054659,0.00065,-0.00022155,-0.00011,0.32249,0.55205,0.53797,0.54938
-0.55161,0.37742,-0.31068,-0.9446,1.0553,-0.11552,-0.054752,0.00069395,-0.00027949,-0.00016846,0.32242,0.55203,0.53794,0.54948
-0.55165,0.37716,-0.31058,-0.94426,1.0555,-0.11565,-0.054865,0.0007752,-0.00029562,-0.00024021,0.32227,0.55202,0.53793,0.54959
-0.55186,0.3767,-0.31087,-0.94394,1.0558,-0.1156,-0.054779,0.00078096,-0.00033773,-0.00030084,0.3222,0.55208,0.5379,0.54959
